Akron,106.22446182686,101.3240456537,0.63254550087544,10–4,10,14,53.9,49.6,35.5,28.9,18,18.3,29.8,28.3,67,55.5,50,34.4,32.6,6.6,7.9,51,48.9,41.6,35.7,66.9,,,,2024,,,,-0.97497766605733,70.7,67.5
Memphis,111.96387623265,100.30525232791,0.7798031500531,15–2,15,17,53.8,48.5,39.3,26.7,17.8,19.4,30.3,32.8,72.6,53.5,48.1,36.3,32.7,13.4,11.6,49.1,52.2,38.6,43.4,73.5,,,,2024,,,,3.1085458029095,74.2,70.2
"Central Arkansas",97.287476625747,114.12697720067,0.13753976081329,4–13,4,17,46.4,53.8,30.3,35.2,19,16.5,27.6,35.1,69.7,44.1,51.6,33.3,38,9.7,8.2,54.1,50.6,39,41.4,69.8,,,,2024,,,,-9.8805063316555,74.6,68.6
"Murray St.",109.90364728841,107.29885428862,0.56852602067173,6–10,6,16,49.8,53.3,33.1,28.4,13.4,18,26.5,26.4,66.4,51,53.5,31.8,35.4,8.8,10,46.8,50,37.6,40.6,67,,,,2024,,,,-6.5614754187005,71.3,70.2
American,106.548554378,114.27182186432,0.30900800662011,9–8,9,17,53.9,54.5,27.5,30.9,17.4,16.4,29.7,26.7,64.7,54.4,54.3,35.6,36.6,5.6,8.9,55.5,50.6,44.8,42.9,64.9,,,,2024,,,,-5.1575309777877,70.2,67.8
"Notre Dame",97.161544831922,95.275016250439,0.55613360210658,7–11,7,18,46.7,45.9,27.9,26.5,20.5,15.4,29.1,25.6,65.1,48.3,44.7,29.7,32.2,6.9,9.7,43.3,48.3,43.4,34.9,65.6,,,,2024,,,,-5.3607844719245,70.6,73.8
Creighton,116.88524998187,93.71802554258,0.92692420382708,13–4,13,17,57.8,44.8,25.8,14.1,16.1,11.4,28.8,23.6,67.8,61.4,44.6,36,30.2,8,8,57.4,37.9,48.8,27,67.6,,,,2024,,,,1.9170767611257,75.4,73.9
Duke,118.85051054994,97.795632338539,0.90398823285051,13–3,13,16,55.2,49.2,35.3,26.6,13.3,19.4,29.5,24.1,69,54.4,48.4,37.8,33.6,11.5,12.8,57.2,52.6,35.6,37.5,69.1,,,,2024,,,,1.5463718138189,74.6,69.3
"Bowling Green",101.7061966344,103.11055075087,0.46065522982445,10–4,10,14,50.4,48.9,35.6,27.5,15.8,14.8,27.9,25.3,70.2,52.8,48,30.9,33.8,6.7,11.7,41.8,44.9,37.5,33.7,69.9,,,,2024,,,,-2.2787156229699,65.1,65.4
UCLA,98.645991849306,96.17653906121,0.57237549000724,6–10,6,16,44.7,48.2,37.4,35.6,18.2,19.7,30,28.5,66.4,45.2,47.5,28.9,32.7,11.2,5.7,49.3,47,26.3,44.4,66,,,,2024,,,,-4.8927749986742,71.2,70.4
Pacific,93.798707252736,113.59757769332,0.099537169215697,4–13,4,17,48.3,55.2,35.6,36,18.1,17,19.1,30.3,69.9,48.9,57.2,31.5,34.6,4,10,62.2,48.5,39.7,38.8,70.2,,,,2024,,,,-10.295811661741,62.2,72
"Texas A&M",115.92654809801,100.4077676904,0.8392620975562,10–6,10,16,45.3,48.6,36.5,31.5,15.6,18.1,44.7,29.6,66.6,48.3,46.7,27,34,9.3,13.3,46.1,60.4,38.6,43.2,65.8,,,,2024,,,,0.28698625760626,70.4,71.8
"North Texas",109.51396559357,92.936916708815,0.86847113617327,8–5,8,13,51.5,43.5,29.5,36.9,20.1,20.3,37.2,32.3,62.2,47.9,43.5,38,29,8.8,9.4,42.9,46,39.6,35.2,62,,,,2024,,,,-1.6564080947496,76,68.4
Nevada,109.85638643441,94.369949159321,0.85162953770865,14–2,14,16,51.6,45.7,47.7,30.6,13.7,18.6,25.5,26,68.4,52.1,45.7,33.8,30.4,12.8,6.6,52.8,53.5,30.9,42.6,69,,,,2024,,,,1.2848207535745,73.3,67
UTSA,104.09370128105,112.28049195748,0.29511914031387,6–10,6,16,49,50.3,34.9,37.4,16.3,14,30.9,30.7,72.2,47.3,49.6,34.2,34.5,11.4,13.7,53.4,51.1,44,34.9,72.1,,,,2024,,,,-7.6109846227724,71.6,71
"Mississippi Valley St.",84.581561108967,119.33042485299,0.018741963539412,0–17,0,17,40.9,58.8,29.7,37.8,25.9,15.6,28.3,37.7,65.5,40.7,60.5,27.6,37.5,4.5,7.4,38.8,58.4,24.5,39.9,65,,,,2024,,,,-10.223345404776,60.2,70.3
"Gardner Webb",98.40512688312,103.38765149319,0.3616949356267,3–12,3,15,45.8,51.8,33.7,44.3,14.1,16.5,24.9,25.3,71,45.6,52.5,30.7,33.7,6,10,46.8,47.6,34.6,34.9,71.7,,,,2024,,,,-8.1001648174588,65.5,72.7
"Norfolk St.",102.91976209621,106.51195277364,0.40262567101369,7–8,7,15,46.9,50.3,44.2,45.3,18.4,21.1,31,34.3,66.6,46.4,51.6,32.1,32.7,8.9,10.4,43.5,63.4,32.8,49.3,66.5,,,,2024,,,,-4.8256514849781,77.3,71.4
Chattanooga,103.34262687641,106.55192259147,0.41297065048479,8–7,8,15,52.6,50.3,29.9,28.8,17.3,15.4,27.3,27.3,69.6,55.2,48.6,33.5,35.1,10.2,11,52.7,49.6,52.2,42.7,68.1,,,,2024,,,,-4.3347524775642,73.7,66.3
"Georgia Southern",99.56312328829,115.0052117463,0.16001259216393,2–15,2,17,49.6,54,24.8,40,19.7,17.5,27.8,36.8,69.4,47.4,53.1,34.6,36.8,10.4,12.5,41.4,55.5,47.3,39.4,69.6,,,,2024,,,,-11.255650907903,70.7,71
"Northern Arizona",94.660342550048,109.36177059036,0.15973357343061,7–10,7,17,48.1,54.7,28.5,39,19.5,18.3,22.1,31.3,69.5,49.1,57.6,31,33.3,8.1,6.9,55,46.3,37.5,38.3,69.1,,,,2024,,,,-5.9729682860427,65.1,73.2
Nebraska,115.42704904637,100.12757052123,0.8368844121573,13–4,13,17,52.8,46.8,34.7,24.3,15.5,16.8,30.6,28.6,69.7,53.8,45.6,34.4,32.3,7.5,9.7,59.8,51.4,45.2,41.8,69.9,,,,2024,,,,1.1174146710376,75.2,71.6
Yale,108.56082349641,101.2229143953,0.69100726996018,9–6,9,15,50.5,50.1,26.3,28.5,14.8,15.7,28.4,25.6,66.8,50.1,48.1,34.3,35.6,10.5,8.1,49.9,54.7,34.8,38.1,67,,,,2024,,,,-2.2610907018999,73.3,74.8
"Tennessee Martin",103.13700717716,110.1837288737,0.31863626094115,6–8,6,14,49.9,50.5,29.8,28.4,15.8,13.6,26.3,27.5,74.7,47,50.6,36.5,33.6,6.9,12.5,44.8,51.3,37.7,42.5,74.9,,,,2024,,,,-5.2661806223955,74.5,70.7
"Morehead St.",103.96278486117,102.51746546352,0.54016276269011,9–5,9,14,52.1,46.9,30.3,36.5,19.5,15,32.7,27.2,67,55.1,47.2,32.2,30.8,12.6,7.9,49.3,44.7,43.8,33.3,67.3,,,,2024,,,,-1.5769335258891,70.7,73.2
Tennessee,115.15909220905,91.453002553811,0.93404967542588,12–4,12,16,51.2,43.9,32.6,37.8,15.8,18.9,33.6,26.9,70.8,51.7,42.5,33.7,30.8,13.4,7.1,62.4,49.6,41.8,38.6,71,,,,2024,,,,2.3368853222186,77,69.9
"Texas St.",97.147962742675,102.34119104415,0.35459862032969,5–10,5,15,46.1,49.3,35,41.3,20.4,17.1,33,30.8,67.7,46.1,51.6,30.8,29.7,9.5,10.2,47.1,50.9,26.4,33.3,67,,,,2024,,,,-5.6740005162674,64.6,70.8
"Jackson St.",101.32874558002,106.6128333103,0.3578775398271,7–9,7,16,46.9,52.8,34.7,39.3,20.2,18.8,33.1,33.9,71.4,45.9,52.4,32.6,35.5,10.6,10.2,51.3,58,34.5,43,71.4,,,,2024,,,,-4.1883351845912,69.1,70.9
Mississippi,114.31168856211,101.37613084342,0.7991593159955,15–1,15,16,53.4,46.4,34.7,27.9,14.7,18.9,28.7,34.7,69.2,50,46.8,40.1,30.5,17.2,6.8,58.3,53.1,32.9,37.6,67.6,,,,2024,,,,2.3698553727488,73.6,71.6
Wyoming,102.93940421192,106.35489099433,0.40724365243181,7–8,7,15,49.6,51.8,40.1,26.6,21.6,17.6,30.6,32,69.5,47.1,54,36.3,32.1,7.8,11.2,46.4,47.3,33.8,37.2,68.7,,,,2024,,,,-3.8133350689268,77.2,77
Minnesota,108.06856346087,100.1960399498,0.7047098801984,12–5,12,17,55,47,33.7,27.6,17.9,17.5,33.3,28.4,69,57.9,46,33.7,33,11.6,8.3,67.8,51.4,39.9,28.5,68.8,,,,2024,,,,-1.6300437694176,67.6,73.1
