year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,win,ovr_rating_bpi,ovr_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,reb%_off,ftr_off,to%_off,reb%_def,3p%_off,eff_off,ft%_def,eff_def,s_f,a_f
2011,West,First Round,4,2011 Texas,13,2011 Oakland,1,8.8,13.7881,16.66184801,-5.3,-3.847240867,6.5,12.4,0.7,-6,1.6,4.334,-3.2,-26.949,0,0
2011,West,First Round,6,2011 Cincinnati,11,2011 Missouri,1,-0.7,3.0449,4.414787773,-2.3,-2.08937436,1.7,-2.1,-6.7,-2.6,-0.4,8.9401,-3.9,-17.2641,0,0
2011,West,First Round,3,2011 Connecticut,14,2011 Bucknell,1,8.5,14.12326,10.32962968,5.2,2.054693379,10.7,-1.5,-0.5,8.7,1.7,13.1627,-9.8,-7.924,0,0
2011,West,First Round,7,2011 Temple,10,2011 Penn St.,1,3.2,2.5671,4.509064116,7,-4.014244291,1.9,5.4,-1.8,-3.8,-1.3,2.832,-2.2,-11.9977,0,0
2011,West,First Round,2,2011 San Diego St.,15,2011 Northern Colorado,1,13.8,21.02513,13.4136587,7.1,7.336584903,9,-11.9,-3.3,-5.8,-1.4,11.0542,-5.3,-14.6389,1,0
2011,Southwest,First Round,1,2011 Kansas,16,2011 Boston University,1,19.7,29.086971,23.2389597,8.1,7.221641266,2.3,10,1.2,-6.6,6.6,16.9129,-0.2,-10.9086,1,0
2011,Southwest,First Round,8,2011 UNLV,9,2011 Illinois,0,-0.3,-0.8086,0.287470101,0,-3.077218569,1.6,6.7,0.3,-0.2,2.6,8.247,-3.3,-14.2761,0,0
2011,Southwest,First Round,5,2011 Vanderbilt,12,2011 Richmond,0,2.5,1.8641,9.991608926,0.7,-8.720776753,-0.1,15.8,-0.7,4,6.9,16.3629,1.2,-10.1501,0,0
2011,Southwest,First Round,4,2011 Louisville,13,2011 Morehead St.,0,8.9,16.07747,10.16668648,6,7.943739878,7.3,-8.7,-4,-6.3,-0.8,11.6809,2.4,-13.0942,0,0
2011,Southwest,First Round,6,2011 Georgetown,11,2011 VCU,0,3.5,10.24523,14.26349183,-0.7,-4.621955879,-2.8,-0.4,-1.9,0.9,0.5,6.502,-0.9,-6.403,0,0
2011,Southwest,First Round,3,2011 Purdue,14,2011 Saint Peter's,1,14.6,22.36967,4.380774151,15.1,16.85302139,-2.1,-7.3,-6,-2.5,6.1,18.3333,5.1,0.2798,0,0
2011,Southwest,First Round,7,2011 Texas A&M,10,2011 Florida St.,0,-0.7,0.4137,-6.824825084,6.4,2.596743947,7,11.2,-1.9,-6,3.6,16.8101,2.6,-2.7837,0,0
2011,Southwest,First Round,2,2011 Notre Dame,15,2011 Akron,1,11,20.89679,20.34089858,3,0.203313297,0.8,7.2,-4.1,1.4,7.4,18.1349,0.5,-2.755,0,1
2011,Southeast,First Round,1,2011 Pittsburgh,16,2011 UNC Asheville,1,17.3,25.0331,17.96279771,6.8,7.026458241,7,3.7,-6,-3,5,19.5035,-2.9,-5.8638,1,0
2011,Southeast,First Round,8,2011 Butler,9,2011 Old Dominion,1,0.7,0.7425,6.392163614,5.7,-6.327833919,5,10.7,-1.7,-17.9,-0.8,14.2968,-0.3,-9.9136,0,0
2011,Southeast,First Round,5,2011 Kansas St.,12,2011 Utah St.,1,-0.6,-2.7604,-1.383200161,2.2,-1.817090808,15.5,8.7,2.8,-3.2,7.4,15.1912,-3,-14.5326,0,0
2011,Southeast,First Round,4,2011 Wisconsin,13,2011 Belmont,1,2.5,6.63,14.27460958,3.1,-8.445573629,2,-17.8,-14.6,-10.9,4.4,30.4894,1.3,-13.236,0,0
2011,Southeast,First Round,6,2011 St. John's,11,2011 Gonzaga,0,-1.7,0.3176,2.443368303,-3.2,-3.852005428,4.2,9.1,-2.6,-2.6,-3.1,10.1418,-6.1,-10.8031,0,0
2011,Southeast,First Round,3,2011 BYU,14,2011 Wofford,1,8.7,15.89554,19.60209169,-3.9,-5.825737153,-1.2,-2.6,-5.1,-5.9,1,9.446,-0.1,-17.6577,0,0
2011,Southeast,First Round,7,2011 UCLA,10,2011 Michigan St.,1,-3.7,-1.0537,-0.190882614,-1.9,-1.914668651,7.5,5.5,4.3,-3.2,-3.4,3.399,-3,-5.4591,0,0
2011,Southeast,First Round,2,2011 Florida,15,2011 UC Santa Barbara,1,14.2,15.42289,12.59779897,7.8,1.72648446,6.5,-6.7,-1,1.5,-1,9.8607,-9.6,-5.9517,0,1
2012,South,First Round,1,2012 Kentucky,16,2012 Western Kentucky,1,24,34.56205,19.34446323,10.8,14.37668973,5.6,1.2,-4.1,-2.6,3.8,17.3314,-0.5,-5.0483,1,0
2012,South,First Round,8,2012 Iowa St.,9,2012 Connecticut,1,0.2,1.4376,5.155590047,-1.7,-7.378537922,-2.4,13.8,1.6,-10.5,3.7,9.7063,3.8,-6.6349,0,0
2012,South,First Round,5,2012 Wichita St.,12,2012 VCU,0,5.9,10.6031,8.30436407,2.6,-0.473271856,-0.5,-2.7,-9.4,-7.5,5.2,22.5101,-0.2,-11.5117,0,0
2012,South,First Round,4,2012 Indiana,13,2012 New Mexico St.,1,8.5,10.887,16.48047616,-5.1,-6.056824555,5.8,13.4,-1.3,-9.5,11.3,18.595,2.7,-10.8543,0,0
