team_year,year,team,team,region,seed,finish,conference,logo,color_main,color_secondary,color_alternate,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_miya,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_miya,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_miya,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,true_tempo,10pt_runs_per_game,10pt_runs_conceded_per_game,10pt_runs_total,10pt_runs_conceded_total,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def,rank_ovr_miya,rank_off_rating_miya,rank_def_rating_miya,rank_ovr_rating_kenpom,rank_off_rating_kenpom,rank_def_rating_kenpom,rank_eff_off,rank_eff_def,rank_point_dist_ft_off,rank_point_dist_2p_off,rank_point_dist_3p_off,rank_point_dist_ft_def,rank_point_dist_2p_def,rank_point_dist_3p_def,rank_true_tempo,rank_adj_tempo,rank_injury,rank_home,rank_height_eff,rank_experience,rank_bench,rank_size,rank_height_1,rank_height_2,rank_height_3,rank_height_4,rank_height_5,rank_pos_point_dist_1,rank_pos_point_dist_2,rank_pos_point_dist_3,rank_pos_point_dist_4,rank_pos_point_dist_5,rank_pos_reb_dist_1_off,rank_pos_reb_dist_2_off,rank_pos_reb_dist_3_off,rank_pos_reb_dist_4_off,rank_pos_reb_dist_5_off,rank_pos_reb_dist_1_def,rank_pos_reb_dist_2_def,rank_pos_reb_dist_3_def,rank_pos_reb_dist_4_def,rank_pos_reb_dist_5_def
2024 St. John's,2024,St. John's,St. John's,West,7,In Progress,Big East,,#FFCD8F,#FFDCAF,#FFCA88,10.2,17.293,15.92185444,0.904300729,1.372671706,6,115.277,9.142924746,115.9260462,4.2,97.9835,6.778929691,95.35934585,50.3,27.8,40.4,16.7,46.8,33.3,31.4,18.4,49.7,34.3,111.904,70.9,46.2,31.9,99.5305,71.8,71.74159482,0.823529412,0.235294118,14,4,3.17912,0.39,78.03,33.37,70.3,70.2897,70.4357,16.37995512,56.24532536,27.37471952,20.37037037,51.34680135,28.28282828,21.3,18.92,16.07,17.41,26.2,6.24,10.15,22.31,16.38,44.79,12.8,14.97,24.47,16.94,30.72,28,33,42,34,34,47,55,94,293,52,258,104,165,247,63,76,28,235,117,5,142,52,14,79,130,214,68,152,213,300,263,18,248,221,71,337,54,236,252,49,334,54
2024 Florida Atlantic,2024,Florida Atlantic,Florida Atlantic,West,8,In Progress,AAC,,#FFBC69,#FFE4C2,#FFC57D,11,18.9131,17.42439823,0.878353222,1.160004813,8.5,118.474,12.2743368,118.0127229,2.6,99.5607,5.150061436,99.37352436,56.1,32.7,34.5,16.6,48.9,25.6,30.1,17.6,57.3,36.2,118.112,69.6,48.3,33.2,101.41,72.2,69.2938599,0.8125,0.4375,13,7,2.58936,-0.24,76.59,30.75,68.9,68.9237,68.079,16.85714286,51.85714286,31.28571429,15.90720795,53.02402651,31.06876553,16.48,15.95,23.9,18.25,25.38,8.52,15.8,15.36,25.36,34.89,14.21,17.01,23.07,16.66,28.98,21,10,64,21,12,69,10,121,272,149,154,312,108,151,205,193,21,25,201,43,198,272,207,263,344,358,34,293,315,50,238,27,166,57,213,189,196,174,166,75,340,88
2024 Seton Hall,2024,Seton Hall,Seton Hall,West,9,In Progress,Big East,,#FFDFB8,#FFE4C3,#FFDBAE,6.3,12.4651,10.88655803,0.761546366,0.582543356,3.4,113.204,5.80984724,111.9106926,2.9,100.739,5.076710785,101.1626204,51.4,31.7,38.1,19.7,48.6,28.2,30.8,19,52.7,32.3,109.426,76.6,46.6,34.2,102.728,77.6,67.82525972,0.764705882,0.352941176,13,6,3.02122,-0.05,77.69,23.23,67.3,67.3169,66.3016,19.08945687,58.14696486,22.76357827,18.36037575,45.77284372,35.86678053,20.67,15.48,23.31,24.03,16.42,6.27,15.66,13.88,19.18,44.83,11.43,19.06,23.38,20.81,25.21,62,61,61,64,56,88,86,145,176,21,331,201,326,30,293,281,62,146,175,11,334,95,58,70,118,302,79,185,323,68,56,279,245,59,244,302,53,296,92,66,254,178
2024 BYU,2024,BYU,BYU,West,10,In Progress,Big 12,,#FFC883,#FFCF92,#FFBF6F,13.4,23.6945,19.39170658,0.936526661,0.914025879,7.3,116.345,10.10505011,116.0084841,6.1,92.6504,9.286656471,91.80023,57.1,20.9,34.9,15.2,44.4,27.9,21.5,18.1,58.7,37,120.984,72.1,46.4,27.1,89.0407,68.2,71.05320626,1.066666667,0.2,16,3,1.97421,1.26,78.48,36.94,70.8,70.7945,69.2978,11.67883212,44.96350365,43.35766423,17.62376238,56.83168317,25.54455446,14.79,20.31,23.13,24.4,17.35,12.65,16.73,24.88,18.72,26.97,14.63,21.03,19.34,19.43,25.54,15,24,14,11,23,7,4,3,362,330,2,244,23,319,96,124,15,32,39,146,59,16,15,22,170,69,37,335,166,72,45,245,59,40,42,308,315,159,38,178,289,171
2024 Grand Canyon,2024,Grand Canyon,Grand Canyon,West,11,In Progress,WAC,,#FFDFB8,#FFE4C3,#FFDBAE,7.4,13.2102,10.88466144,0.747004281,1.600769617,5,113.114,5.787428174,110.219658,2.4,99.904,5.09723327,100.3162387,53.7,44.7,36.2,18.1,46.5,32,27.9,19.3,55.5,33.5,114.61,74.7,45.9,31.9,96.258,70.2,69.88524073,0.8125,0.25,13,4,2.39786,0.15,78.43,23.65,69.2,69.2047,68.3577,23.71946414,51.69424744,24.58628842,19.45488722,53.19548872,27.34962406,20.97,15.85,23.23,25.31,14.55,5.79,11.16,26.52,28.13,28.29,13.97,15.53,24.54,22.08,23.79,63,73,68,56,59,77,29,39,22,154,315,149,101,276,170,177,63,218,153,74,330,19,4,47,12,126,184,170,316,71,33,321,268,186,27,146,298,183,230,47,213,229
2024 Princeton,2024,Princeton,Princeton,West,12,In Progress,Ivy,,#FFCC8B,#FFFAF5,#FFDDB2,8.8,13.8686,10.29582889,0.826536993,1.853525381,7.6,118.22,9.465220701,119.4971769,1.1,104.352,0.830608192,104.3269003,56.7,25.5,27.1,13.3,49.9,24.5,27.4,17.5,58.8,36.4,119.811,78.6,49.4,33.9,101.959,76.8,66.59748098,0.75,0.333333333,9,4,1.33815,-1.27,76.41,16.58,64.7,64.7413,64.342,15.02487562,44.37810945,40.59701493,15.88785047,53.97196262,30.14018692,14.74,30.2,18.27,21.29,15.39,10.04,15.49,6.89,33.37,34.02,14.98,22.87,13.65,34.72,13.62,68,27,134,51,13,150,6,134,335,337,9,314,77,185,335,337,68,249,336,275,362,298,202,198,284,212,355,336,4,235,115,304,113,62,357,69,211,145,10,340,4,361
2024 Akron,2024,Akron,Akron,West,13,In Progress,MAC,,#FFECD5,#FFE9CD,#FFE5C6,5.7,7.81446,7.625580884,0.632545501,-0.974977666,3.2,109.111,3.425718103,106.2244618,2.5,101.297,4.199862781,101.3240457,53.9,35.5,29.8,18,49.6,28.9,28.3,18.3,55.5,34.4,108.85,70.7,50,32.6,100.181,67.5,68.51607856,0.642857143,0.214285714,9,3,2.73392,-0.6,76.4,31.45,67,67.0101,66.031,18.89534884,48.8372093,32.26744186,16.43835616,54.16227608,29.39936776,12.34,17.61,16.6,29.34,24.06,8.7,9.16,19.85,43.59,18.65,15.61,11.69,15.65,43.2,13.83,91,109,85,97,101,96,95,106,183,238,129,295,74,213,251,294,91,263,257,28,183,300,249,247,343,234,266,353,254,290,4,46,158,247,111,6,357,118,339,305,1,360
2024 Oakland,2024,Oakland,Oakland,West,14,In Progress,Horizon,,#FFF3E4,#DDEAF5,#FCFDFE,1.6,1.64319,-0.38599082,0.605542157,-2.545856662,2.4,107.717,2.15717655,107.6082552,-0.9,106.074,-2.54316737,103.6714501,51.4,31.4,29.8,16.9,52.3,29.6,28.1,17,52.4,33.1,107.479,71.9,51.2,35.8,107.139,74.2,69.46969321,0.526315789,0.473684211,10,9,2.10047,-1.33,76.42,30.07,69.3,69.2113,68.8631,18.00281294,51.1954993,30.80168776,17.36357193,46.91708009,35.71934798,19.06,18.4,17.14,24.45,20.82,9.33,6.66,27.04,24.93,31.9,14.71,15.93,21.54,28.72,18.97,170,135,247,144,126,185,119,240,219,170,169,261,298,35,192,141,170,352,341,118,223,296,129,213,333,325,331,231,237,269,43,132,138,314,22,197,242,157,212,122,44,336
2024 Denver,2024,Denver,Denver,West,15,In Progress,Summit,,#FFDFB8,#A8C9E6,#FAFCFD,-4.9,-0.42465,-0.809284307,0.485468665,-3.965028543,1.3,112.654,5.787370512,112.8769183,-6.2,113.079,-6.596654818,113.4490466,52.7,39.4,31,13.4,54.2,29.2,26.9,13.4,49.4,39.1,116.159,72.5,54.1,36.2,112.823,68.7,71.62379862,0.357142857,0.357142857,5,5,1.98803,0.94,77.65,28.28,70.9,70.872,70.7615,21.31287298,46.71781756,31.96930946,15.64147627,55.88752197,28.47100176,24.52,25.36,13.38,16.48,20.19,9.07,10.58,9.75,23.43,47.06,15.48,21.69,13.34,21.4,28.02,178,74,326,171,62,330,19,328,63,300,140,323,40,241,71,69,178,195,66,141,264,101,224,171,62,70,74,72,40,349,284,147,147,203,335,228,31,124,25,345,232,111
2024 Kennesaw St.,2024,Kennesaw St.,Kennesaw St.,West,16,In Progress,ASUN,,#F8FAFD,#F3F8FB,#F5F9FC,-0.6,-2.61532,-1.607898637,0.396014019,-2.809377764,-1.6,104.355,-0.752760116,102.9128424,1,106.97,-0.855138521,106.7603825,51.4,37.5,29.4,16.3,50.9,42.4,32.2,19.9,52.9,33,106.81,67.3,51.7,33,106.14,71.9,75.85695552,0.214285714,0.5,3,7,1.93035,-0.26,76.66,28.37,76.9,76.9491,76.2841,19.68911917,47.15025907,33.16062176,23.05025997,49.39341421,27.55632582,24.82,22.16,18.94,16.28,17.76,8.87,6.9,14.09,26.63,43.4,16.42,11.96,19.41,26.35,25.81,193,189,190,195,189,211,133,217,142,287,101,31,235,271,1,1,193,116,207,161,261,262,333,260,61,142,262,69,103,211,293,235,152,306,237,171,70,97,337,173,93,165
