team_year,year,team,region,seed,finish,weekend,conference,logo
2021 Gonzaga,2021,Gonzaga,West,1,Runner Up,3,WCC,
2022 Gonzaga,2022,Gonzaga,West,1,Sweet 16,2,WCC,
2023 Gonzaga,2023,Gonzaga,West,3,Second Round,1,WCC,
2021 Grand Canyon,2021,Grand Canyon,West,15,First Round,1,WAC,
2023 Grand Canyon,2023,Grand Canyon,West,14,First Round,1,WAC,
2016 Green Bay,2016,Green Bay,West,14,First Round,1,Horizon,
2011 Hampton,2011,Hampton,West,16,First Round,1,MEAC,
2015 Hampton,2015,Hampton,Midwest,16,First Round,1,MEAC,
2016 Hampton,2016,Hampton,Midwest,16,First Round,1,MEAC,
2021 Hartford,2021,Hartford,South,16,First Round,1,America East,
2012 Harvard,2012,Harvard,East,12,First Round,1,Ivy,
2013 Harvard,2013,Harvard,West,14,Second Round,1,Ivy,
2014 Harvard,2014,Harvard,East,12,Second Round,1,Ivy,
2015 Harvard,2015,Harvard,West,13,First Round,1,Ivy,
2016 Hawaii,2016,Hawaii,South,13,Second Round,1,Big West,
2016 Holy Cross,2016,Holy Cross,West,16,First Round,1,Patriot,
2010 Houston,2010,Houston,Midwest,13,First Round,1,CUSA,
2018 Houston,2018,Houston,West,6,Second Round,1,AAC,
2019 Houston,2019,Houston,Midwest,3,Sweet 16,2,AAC,
2021 Houston,2021,Houston,Midwest,2,Final Four,3,AAC,
2022 Houston,2022,Houston,South,5,Elite Eight,2,AAC,
2023 Houston,2023,Houston,Midwest,1,Sweet 16,2,AAC,
2023 Howard,2023,Howard,West,16,First Round,1,MEAC,
2009 Illinois,2009,Illinois,South,5,First Round,1,Big 10,
2011 Illinois,2011,Illinois,Southwest,9,Second Round,1,Big 10,
2013 Illinois,2013,Illinois,East,7,Second Round,1,Big 10,
2021 Illinois,2021,Illinois,Midwest,1,Second Round,1,Big 10,
2022 Illinois,2022,Illinois,South,4,Second Round,1,Big 10,
2023 Illinois,2023,Illinois,West,9,First Round,1,Big 10,
2008 Indiana,2008,Indiana,East,8,First Round,1,Big 10,
2012 Indiana,2012,Indiana,South,4,Sweet 16,2,Big 10,
2013 Indiana,2013,Indiana,East,1,Sweet 16,2,Big 10,
2015 Indiana,2015,Indiana,Midwest,10,First Round,1,Big 10,
2016 Indiana,2016,Indiana,East,5,Sweet 16,2,Big 10,
2022 Indiana,2022,Indiana,East,12,First Round,1,Big 10,
2023 Indiana,2023,Indiana,Midwest,4,Second Round,1,Big 10,
2011 Indiana St.,2011,Indiana St.,East,14,First Round,1,MVC,
2012 Iona,2012,Iona,West,14,First Round,1,MAAC,
2013 Iona,2013,Iona,West,15,First Round,1,MAAC,
2016 Iona,2016,Iona,Midwest,13,First Round,1,MAAC,
2017 Iona,2017,Iona,Midwest,14,First Round,1,MAAC,
2018 Iona,2018,Iona,Midwest,15,First Round,1,MAAC,
2019 Iona,2019,Iona,Midwest,16,First Round,1,MAAC,
2021 Iona,2021,Iona,East,15,First Round,1,MAAC,
2023 Iona,2023,Iona,West,13,First Round,1,MAAC,
2014 Iowa,2014,Iowa,Midwest,11,First Round,1,Big 10,
2015 Iowa,2015,Iowa,South,7,Second Round,1,Big 10,
2016 Iowa,2016,Iowa,South,7,Second Round,1,Big 10,
2019 Iowa,2019,Iowa,South,10,Second Round,1,Big 10,
2021 Iowa,2021,Iowa,West,2,Second Round,1,Big 10,
2022 Iowa,2022,Iowa,Midwest,5,First Round,1,Big 10,
2023 Iowa,2023,Iowa,Midwest,8,First Round,1,Big 10,
2012 Iowa St.,2012,Iowa St.,South,8,Second Round,1,Big 12,
2013 Iowa St.,2013,Iowa St.,West,10,Second Round,1,Big 12,
2014 Iowa St.,2014,Iowa St.,East,3,Sweet 16,2,Big 12,
2015 Iowa St.,2015,Iowa St.,South,3,First Round,1,Big 12,
2016 Iowa St.,2016,Iowa St.,Midwest,4,Sweet 16,2,Big 12,
2017 Iowa St.,2017,Iowa St.,Midwest,5,Second Round,1,Big 12,
2019 Iowa St.,2019,Iowa St.,Midwest,6,First Round,1,Big 12,
2022 Iowa St.,2022,Iowa St.,Midwest,11,Sweet 16,2,Big 12,
2023 Iowa St.,2023,Iowa St.,Midwest,6,First Round,1,Big 12,
2017 Jacksonville St.,2017,Jacksonville St.,Midwest,15,First Round,1,OVC,
2022 Jacksonville St.,2022,Jacksonville St.,Midwest,15,First Round,1,ASUN,
2013 James Madison,2013,James Madison,East,16,First Round,1,CAA,
2008 Kansas,2008,Kansas,Midwest,1,Champion,3,Big 12,
2009 Kansas,2009,Kansas,Midwest,3,Sweet 16,2,Big 12,
2010 Kansas,2010,Kansas,Midwest,1,Second Round,1,Big 12,
2011 Kansas,2011,Kansas,Southwest,1,Elite Eight,2,Big 12,
2012 Kansas,2012,Kansas,Midwest,2,Runner Up,3,Big 12,
2013 Kansas,2013,Kansas,South,1,Sweet 16,2,Big 12,
2014 Kansas,2014,Kansas,South,2,Second Round,1,Big 12,
2015 Kansas,2015,Kansas,Midwest,2,Second Round,1,Big 12,
2016 Kansas,2016,Kansas,South,1,Elite Eight,2,Big 12,
2017 Kansas,2017,Kansas,Midwest,1,Elite Eight,2,Big 12,
2018 Kansas,2018,Kansas,Midwest,1,Final Four,3,Big 12,
2019 Kansas,2019,Kansas,Midwest,4,Second Round,1,Big 12,
